sentences,review_ids,type,product_id
I find it quite therapeutic to give my guitars some TLC between gigs.  ,RBXN6815ZVR9P,benchmark,B0002E1H9W
I didn't use everything in the kit.  ,RU936KSASH9WD,benchmark,B0002E1H9W
This is a great cleaner kit for guitars.,R1EJWH4VNVUB2C,benchmark,B0002E1H9W
"The products work great, applied them to my new Les Paul Ukulele for protection.",R2UJ1WO9OJFVF6,benchmark,B0002E1H9W
"Otherwise, everything works great and our guitars look awesome after we clean them which is usually every time we change the strings and a basic wipedown after every use-every other use.",R166Y9NDRIXCOO,benchmark,B0002E1H9W
"Works great, my guitar looks better than it did new.",RU8PQEQWWNRQ5,benchmark,B0002E1H9W
He says its the best cleaning kit he has used so far.  ,R1N2HLPBQ24X3R,benchmark,B0002E1H9W
"If you plan on changing your strings, then this is worth buying for the fretboard cleaner alone.  ",R3SD9IUX8DPVEF,benchmark,B0002E1H9W
The fret board though...,R3FPI8NYLS7ZHC,benchmark,B0002E1H9W
"the cleaner and polish smells just like some furniture polish, and the carnauba wax is the only that might work to protect the guitar body.<br /><br />I",R16GLUAISUKQFE,benchmark,B0002E1H9W
I bought these to give my guitar a cleaning.,RBWCTVNSLDZNK,benchmark,B0002E1H9W
There were no cotton polishing cloths in the package.,R392W1EB0IGJV0,benchmark,B0002E1H9W
"The kit includes five cleaners/polishes, two cotton cloths, and one fret cloth.",R23I3PEGUP3VBR,benchmark,B0002E1H9W
/>The product itself seems to work well enough.,R2B2MNUZ7SB7LR,benchmark,B0002E1H9W
"It works like it is supposed to, so that is why I give it a thumbs up.",R27KQ0Z04NIPM2,positives,B000V8GA46
"I didn't use it so far but fully trust on Tascam products there is long long years, since the ministudios were with K7",R1QU4A7Z3X72ML,positives,B000V8GA46
Higher power for larger loads.,R24G1A12C3XPB0,positives,B000V8GA46
Power supply does the job nicely and saves me money that would have been spent on batteries.,R2QSMEOZMJLOLH,positives,B000V8GA46
"There's not much I can say about this power supply, works great, and saves me a lot of money on batteries, I use it on my Tascam DR-07, batteries didn't last very long",R2SFWDINBWFVZW,positives,B000V8GA46
It does its job very well...& has plenty of power cord length.,RRCWWNVDFP6ZZ,positives,B000V8GA46
Got a great price thru Amazon that I still can't duplicate.,R3SDF1O6IEQ0Q2,positives,B000V8GA46
I purchased this adaptor to power my Tascam recorder.  ,R2Z17RI06LK8JO,positives,B000V8GA46
"I didn't have an occasion to use the adapter, I used batteries when I had an occasion to use it",R2UNBJLKLHLN0H,negatives,B000V8GA46
"This product worked fine for a few months, and has already crapped out.",R3N1PQCTZ2O1ZF,negatives,B000V8GA46
The unit this peice goes to is a peice of junk and Tascam has terrible customer service.  ,R2RIZURP874LK,negatives,B000V8GA46
Mostly battery powered for what and where  it is used.,R1RZL5770QKUT,negatives,B000V8GA46
It is not a very tight adapter when you plug in the cord to the box.,ROH12T0HD1HKP,negatives,B000V8GA46
"If you are thinking to buy this AC adapter to use with Tascam DR-05, forget about it.",RR35PZIFI2G7E,negatives,B000V8GA46
Bought it to use with my Tascam DP-008 and of course it works.,R1VS3X7M0F8KRQ,benchmark,B000V8GA46
This is a very nice little switching-type powersupply.,RDVP7LFPEQR2U,benchmark,B000V8GA46
to power it without the need for batteries!,R2UAF89EZ9VGOV,benchmark,B000V8GA46
"There's not much I can say about this power supply, works great, and saves me a lot of money on batteries, I use it on my Tascam DR-07, batteries didn't last very long",R2SFWDINBWFVZW,benchmark,B000V8GA46
Works with my Tascam DR-100 to charge and supply A/C power.,R3HAA2ANWGA66G,benchmark,B000V8GA46
It carries juice from the wall to my recorder so fast,R1K6Z2B0KKR0MC,benchmark,B000V8GA46
I wonder why the manufacturer did not bundle this power adapter along with the recorder itself.,R1PSD0PFESO0DV,benchmark,B000V8GA46
"This is much more than I'm used to getting, so that's a nice thing for overall flexibility of use.<br /><br />Five",R2VSSNC34XVF5R,benchmark,B000V8GA46
wrong power supply for tascam dr-07 mkII,R2V53REPTRW6HI,benchmark,B000V8GA46
"If you are thinking to buy this AC adapter to use with Tascam DR-05, forget about it.",RR35PZIFI2G7E,benchmark,B000V8GA46
"I didn't have an occasion to use the adapter, I used batteries when I had an occasion to use it",R2UNBJLKLHLN0H,benchmark,B000V8GA46
"If you want to use this to power up a Tascam DR series digital recorder, I have a less expensive solution for you:  if you own a usb wall charger (like a cell phone charger), you can use that to power your device through its usb port.",R1VYWREWRS93OM,benchmark,B000V8GA46
My Tascam recorder requires a USB cable for power.  ,R2MDEER030683W,benchmark,B000V8GA46
There should be specs listed as to which microphones is pop filter works best with.,R289L0UISWHHKJ,positives,B0002H0H4A
I would highly recommend this filter which cuts out everything ugly!,RM99R1O32KNXW,positives,B0002H0H4A
in-all I love this pop filter.,R3GK1WZGMNLNP2,positives,B0002H0H4A
designed.<br />Seems like a quality product.,R1NN7I8K6216DN,positives,B0002H0H4A
But still awesome and looks good with the yeti.,R3FT5QKKXXU3F,positives,B0002H0H4A
"When I bought it, I assumed it was made to be used with these microphones.  ",R1D5DZLVQFJ353,positives,B0002H0H4A
Fits perfectly with the Yeti and the Blue Shock Mount.<br /><br />If,R3GK1WZGMNLNP2,positives,B0002H0H4A
: High list price (Don't pay full MSRP for it),R2XPA76JYHTW8,positives,B0002H0H4A
Blue Microphone fits his need indeed.,R2OUB4W1CMJJ3Y,positives,B0002H0H4A
Does not easily fit onto make and had to look up on other sites on how to best fit it to the mic.,R3614DEP54V6LF,negatives,B0002H0H4A
Then I had to pay postage to return the stand.,RPGUD71EOC4WU,negatives,B0002H0H4A
"The clamp is not compatible - it requires a cylindrical mike stand, and there is no such surface on the Yeti.",R1P14FE2KEONL8,negatives,B0002H0H4A
I bought this because I needed a new pop filter for recording my music.,R1CKJ94U8UM0OW,negatives,B0002H0H4A
to find that the mounting bracket that came with the filter was totally unsuited for the Yeti.  ,R3KASJ86K2CQI4,negatives,B0002H0H4A
but the mount was designed very poorly and results in scratches on whatever surface is being used to hold it.,R18CRT1H8ZQLJ0,negatives,B0002H0H4A
It doesn't even fit the blue yeti properly.,R300WQFX9TY89S,negatives,B0002H0H4A
The gooseneck is not strong enough to hold up the pop filter.,R15NH6ELAYQFK4,negatives,B0002H0H4A
It is an expensive mistake in my book.,R1EJLY4A35IU5N,negatives,B0002H0H4A
This is a beautiful shock mount.,R3IA5BF8PIWD9V,negatives,B0002H0H4A
"On a whim, I tweeted @bluemicrophones to confirm the need to modify the filter or mic to make it work.",R229H9L1AHJWBX,benchmark,B0002H0H4A
"This pop filter is built like a tank compared to those cheap cloth and plastic versions that you get at the discount music stores, so it's a bit more expensive, but the quality and functionality is like night and day.  ",R1EQRO5XBT4QOC,benchmark,B0002H0H4A
"I bought this to use with my Yeti, and it works great.",RKWWNQUN4D08A,benchmark,B0002H0H4A
The Blue Microphone's pop filter does exactly what it's supposed to do and was very easy to attach to my Blue Yeti,R6J96KE7EC3SG,benchmark,B0002H0H4A
"First of all, let me say, from some of the pictures I have seen posted of this Pop Filter, when put on a Yeti mic stand, the clamp will fit on the stand as pictured.",R2I8M60V399NIE,benchmark,B0002H0H4A
I found a little L-shaped bracket that I attached to the mic stand that works great.,RV4LRKLKHYU6C,benchmark,B0002H0H4A
"The only beef I had, AT ALL, with this product, was the fact that it has no &#34;natural&#34; attachment to the yeti microphone.",R2O4GVZJI43018,benchmark,B0002H0H4A
There's a nice little &#34;Atlas Sound AD-7B Long Microphone Tube&#34; here on Amazon that will make it work without doing any modifications to the yeti.,R1H3OF9HZFGI0X,benchmark,B0002H0H4A
- you would think it would work/attach seamlessly to OTHER Blue products.,RGZET3QN2S3B5,benchmark,B0002H0H4A
"Great pop filter, if you're not used to a solid/rigid filter it takes some getting used to.",RS8ZQTZQD1JTC,benchmark,B0002H0H4A
The Pop uses a metallic metal that does not at all match that of the Yeti.,R2LGRPSAGZ46O3,benchmark,B0002H0H4A
"It does an excellent job of filtering out the &#34;Pop&#34; and the goose neck is built to last ... but be warned that the attachment that holds on to the back of the Blu Yeti mic is built irresponsibly, a real lazy deign for what is otherwise a top notch product ...",R3B5C9HUHV7LBY,benchmark,B0002H0H4A
"Unlike the other reviewers, I had no trouble getting it installed and properly attached to my Blue Yeti HOWEVER, it ruins the sleek, futuristic look of the Blue Yeti.",R2LGRPSAGZ46O3,benchmark,B0002H0H4A
Don't bother buying this if you plan to mount your Yetti on a mic boom - the pop filter is way too heavy and will add too much weight to the already heavy Yetti mic + Blue Shockmount.,RP7RTZV7RW6D5,benchmark,B0002H0H4A
"If you will look closely at the picture, you will see that it is held to the microphone by a specially made attachment that is not included with it.  ",R1I4JBOFR8U5M6,benchmark,B0002H0H4A
"[[VIDEOID:mo3F0BODKQ1L4XA]]I ordered this pop filter from Blue assuming it would be a perfect fit for my Blue Yeti mic based on the Amazon recommended \\""buy together\\"" feature.",R3EDNOXVAN3MTU,benchmark,B0002H0H4A
Product works fine but if you need it for recording software and iPad...,R3UK3R825DNRXQ,benchmark,B0002H0H4A
Does not mount with blue's shock mount.,R1Y6247PRWCEKV,benchmark,B0002H0H4A
"but there's no way to attach this \\""universal\\"" pop filter to the Blue Yeti stand that makes Yeti so useful for desktop recording.",R3PNRB5GFVPCGO,benchmark,B0002H0H4A
If your guitar is extremely out of tune then this may not work well at all.,R2C6CCGVL1VFJ3,positives,B000M23OQ8
Once guitar is tuned well enough the tuner works perfectly.,R2C6CCGVL1VFJ3,positives,B000M23OQ8
It works like it should and is easy to use and understand.,RXDJVDHHL2QB7,positives,B000M23OQ8
I highly recommend this tuner and the seller.,R1PO1A2LWLT00K,positives,B000M23OQ8
This tuner is easy to use.  ,R3SQTQF5S44DK9,positives,B000M23OQ8
"The other one, I loved, washed it, it still worked great after I dried it out.  ",R3KDFAXR51UXJI,positives,B000M23OQ8
"compact size, plug-in & audible sensing tuner, electronic pitch pipe & chord map rolled into one package for a great price; what can be wrong with that?",R33J38QSI6OPUI,positives,B000M23OQ8
Have had this for awhile and it keeps it in tune.,RNO0LYM23D0GZ,positives,B000M23OQ8
its pretty cool little tuner!,R3MKB1J6NHIBYH,positives,B000M23OQ8
I had one and like it so much I bought one for my Grand Daughter for gift.,R3G1FMUP7JR47G,positives,B000M23OQ8
"Sorry about that, but it wasn't what I expected at all and just sits in the box waiting to go in the trash.",RLZZHO2SWTGAC,negatives,B000M23OQ8
It was not what I expected.,RHZCODXAMH6KF,negatives,B000M23OQ8
Only accurate thing is the tone generator.,R2HL8CJJ2SRRQF,negatives,B000M23OQ8
I thought I did my research from reading other people's reviews.  ,R1RI5RNVOIBFL4,negatives,B000M23OQ8
I thought it was going to be more computerized,RHZCODXAMH6KF,negatives,B000M23OQ8
"while the chord library is really nice, that is the only thing i like about this.",RUML06LSUG3BX,negatives,B000M23OQ8
I get the Qwik Tune GP1 Guitar Professor Guitar Tuner and it does what it's supposed to do perfectly...buy it!,R3I04HVC2Y2CP8,benchmark,B000M23OQ8
this is barely useful as a tuner.,R253F7FL1IICC3,benchmark,B000M23OQ8
"At first I thought this tuner was having issues, but apparently if you have a new guitar (which I do)",R1EYSHS596CYHG,benchmark,B000M23OQ8
"Lightweight, easy to use, and has survived a few drops without issue.",R1PLAZ59T9IQOP,benchmark,B000M23OQ8
It is obviously intended for beginners being that experienced musicians should know their chords.,R39BXJG029NRE1,benchmark,B000M23OQ8
"Ir works well, as advertised, and it's very convenient to use, extremely portable.",R17HDUK1NS0E7E,benchmark,B000M23OQ8
(Not all chords are in here,R21NH7I066TGZ6,benchmark,B000M23OQ8
"therefore i think  the quality is wonderful,the price is wonderful,all perfect.",RXFVBY77ST55V,benchmark,B000M23OQ8
I would recommend this to any guitar player.  ,R3FC407JJ4KJRB,benchmark,B000M23OQ8
Please follow the instruction and will feel this tuner really a good product!,R2W3952CPYUQ8R,benchmark,B000M23OQ8
This tuner is okay but don't get it if you just want the chord finder.,R2ZTSDGOAJZ4KN,benchmark,B000M23OQ8
Its good to tune your guitar but if you dont pluck the string,R2LJMWLCUWNI0W,benchmark,B000M23OQ8
i can tune my guitar with it.,R39KVI1BATBNIO,benchmark,B000M23OQ8
This product should only be purchased if you are new to guitars and need a portable chord finder and happen to also need a basic tuner.  ,R1CH254DHK6RYY,benchmark,B000M23OQ8
I purchase this product and the first one did not pick up the F note on my guitar,R2TJ7QJ2QDG1Z1,benchmark,B000M23OQ8
and i don't how to use it..,R27ALFKHP6L784,benchmark,B000M23OQ8
"Great Thing, Good Size, Great Microphone Response",R1LLCNXOEHSUMU,positives,B0090XX0MS
"But when I use 8G and 16G card to expand the memory, it shows also 2G.",R1XJ4T3OKKQR08,positives,B0090XX0MS
Decent recording quality.,R2V9AILSEM9B83,positives,B0090XX0MS
The price was big money to me,R2XFA57481H34J,positives,B0090XX0MS
The audio quality is good and the headphones are decent.,R19L2TUGT0JBAE,positives,B0090XX0MS
"I had to get help for that, but  would  absolutely recommend for singers and musicians.",RMUC8QMGO6SFC,positives,B0090XX0MS
Works great for the price point with a true stereo recording!,R3TIK15DCC80YC,positives,B0090XX0MS
"Great small audio recorder, Using it for capturing audio on the weddings.",RI3LB0BBUF229,positives,B0090XX0MS
Took itnout to test it right away and fell in love with the sound quality it was giving me.,R3QIK45FUKVW8U,positives,B0090XX0MS
we have to return it . . .,RNOIE7UEU4ZP8,negatives,B0090XX0MS
I play guitar right next to the mic,RQ6ZTKDYFTI51,negatives,B0090XX0MS
Awful playback quality.,R9SIVD0DMZYEE,negatives,B0090XX0MS
"There's a tremendous amount of warble, scratchiness, static, distortion, and generally awful noise quality.",R226IPR9RLNK2U,negatives,B0090XX0MS
It sounds good at first and then starts to get all scratchy.,R9SIVD0DMZYEE,negatives,B0090XX0MS
I intend to use the recordings in video I was shooting.,R2Y1ETFQSL5X57,benchmark,B0090XX0MS
I use it to record rehearsals and to practice with.,RARG87BMFGIVS,benchmark,B0090XX0MS
Great handy recorder with excellent features and ease of handling.,R3FEFR5IIPNNZW,benchmark,B0090XX0MS
"This is a high quality digital recorder perfect for field recordings, live music shows, sound effects and any situation requiring high fidelity sound recording.  ",R24L8GGGHEHQHA,benchmark,B0090XX0MS
Sound quality is excellent!,R1XKI6YKBR5M4R,benchmark,B0090XX0MS
I bought this Digital recorder because of my budget.,R1VE66ROMWRLUW,benchmark,B0090XX0MS
"Voice recordings from the DR-05 can easily be synced with the on-camera voice recordings in Vegas Pro 13, which is a bit of a hassle",R1L8CKP5DUZFRA,benchmark,B0090XX0MS
The audio quality is good and the headphones are decent.,R19L2TUGT0JBAE,benchmark,B0090XX0MS
Most of the other recorders in this price range only give you a 1gb or nothing.,R3LABIGXUGR4GI,benchmark,B0090XX0MS
"First, the price is right, the recorder has tons of &#34;bang for the buck,&#34; and the recording quality is more than acceptable, but there are several shortcomings.<br /><br />First, my unit did not arrive with the current firmware release installed.  ",R1ADZ3D1UAJAPU,benchmark,B0090XX0MS
"So if you are not familiar with this type of device, reading the manual will be confusing.  ",R37GQSYO58GU59,benchmark,B0090XX0MS
With all the positive reviews I can only imagine what the people who love this are actually recording.  ,R3B2F1LCWFT9IC,benchmark,B0090XX0MS
The Tascam stopped working 1 month after it's 1 year warranty.<br /><br />I,R17Z5W17ZCRP0S,benchmark,B0090XX0MS
His first electric guitar.,R223FPUZ4M78WT,positives,B000BU42LM
My son loves it an I even pick it up from time to time.,R1PX08KX7FNRFY,positives,B000BU42LM
everything came as said and the guitar is amazing,RA67KFZ6BNDRO,positives,B000BU42LM
I spent much more than the Amazon price and am still quite content with my purchase.  ,R1WSAWV9XUPUJW,positives,B000BU42LM
"the bag, strap, amp excetra were solid no frills good for beginners tools of the trade.",R2G0JRHJG0DQ9S,positives,B000BU42LM
Nice set guitar is beautiful amp is perfect for beginners would recommend great for kids and beginners,R1RZ5F24VMC9B5,positives,B000BU42LM
This is an awesome deal.,R1IZIGLG68SNYV,positives,B000BU42LM
This packege is one of the best if not the best for the money.,R3FO1V84APVWC1,positives,B000BU42LM
Bought this for my son as a beginner electric guitar.  ,R2W5FQBEDRH9PE,positives,B000BU42LM
Very pleased with the price and the amount of time it was received.  ,R460ZCSO5F6OB,positives,B000BU42LM
THIS IS THE WORST EVER,R31ZQ0UU8XKRV1,negatives,B000BU42LM
Add that to the fact that amazon customer service and shipping is an utter nightmare and you've got yourself one star.,RENS8HP5TWQK0,negatives,B000BU42LM
"Tuner isn't too good, but everything else is mediocre",R3TWCU5K6I9Q23,negatives,B000BU42LM
"I don't know maybe it was just my luck, but if i were you i wouldn't take the risk.",R8384Y6KH2678,negatives,B000BU42LM
"but if you include the bar it should work, otherwise leave it off!",R3IBX71ETF1I9T,negatives,B000BU42LM
I ordered 2 of these and on both of them the edge of the frets were so sharp they would cut your fingers.,R2TFW20RC8WDHZ,negatives,B000BU42LM
No adults fingers can fit between these frets.,R3PW1LPU5NO0QY,negatives,B000BU42LM
This guitar is crap!!!,R3SFDEXGLY1QB4,negatives,B000BU42LM
"When returning to guitar after a five years, I decided to switch from acoustic to electric and picked up this package.",R1WSAWV9XUPUJW,benchmark,B000BU42LM
Amp sounds good.,R2W5FQBEDRH9PE,benchmark,B000BU42LM
I purchased the Silvertone SS10 pak for my son for Christmas and he loves it.,R1MJUDKZ73CC45,benchmark,B000BU42LM
"Pretty good quality, not the best guitar I've ever held, but for the price I paid, I felt I got an excellent deal.",R1XYUW0XH4H9QL,benchmark,B000BU42LM
"with regular maintenance like tuning before i play and changing the strings/cleaning the frets during the change of strings, this guitar sounds good to anybody that knows how to play the guitar.",R14IXVM2ESGT5W,benchmark,B000BU42LM
was the muffled sound the amp displays when at full level on all controls but other than that it is exceptional for the price I paid for the package.<br /><br,R3D88G8V8KDBSS,benchmark,B000BU42LM
We are very happy with the item and would recommend it for any child wanting an electric guitar.,R1RFYDUJARCLPI,benchmark,B000BU42LM
"The strings are also a great addition, as well as the tuner, though there are far superior tuners that one can buy at a great low price elsewhere.",R1XYUW0XH4H9QL,benchmark,B000BU42LM
34;kit&#34; guitars aren't meant to last forever.  ,RQ535CI4E0NYB,benchmark,B000BU42LM
Clear sound and ready to play.,R223FPUZ4M78WT,benchmark,B000BU42LM
I have played all kinds of guitars in my 20 years of playing and this guitar is truly awful.  ,R3PR8HQ6F1QMX8,benchmark,B000BU42LM
He used it for about a month before he realized that there is a short in the cord for the amp.,R3BNE9XO38LLLD,benchmark,B000BU42LM
Had to go thru American Musical to get a return shipping label as Amazon doesn't handle returns on things they don't ship directly.,R12PWDX795YB47,benchmark,B000BU42LM
Unless it's you 1st guitar and you don't want to spend much money.,R5KLZ7OAD0FVA,benchmark,B000BU42LM
I had already spent the money on it and my son was so excited...,R3SFDEXGLY1QB4,benchmark,B000BU42LM
"When you have finally tuned the 6th string, strings 1-3 have returned to flat.  ",R3PR8HQ6F1QMX8,benchmark,B000BU42LM
The frets were like knives.,RUHMM5PWY4DW5,benchmark,B000BU42LM
the frets were razor sharp and sliced up my hands christmas eve as I was testing it before giving it to my little sister.,RUPY0TZER9752,benchmark,B000BU42LM
If you want a quality mic for occasional use get this its the best deal for the price.,R2T5KJAR893IY9,positives,B0000AQRSR
love this product for this price cant complain about it .,RMW752F2G7BNN,positives,B0000AQRSR
estamos utilizando este microfono,R39K4RUXINTXX,positives,B0000AQRSR
these are the mics im used to.,R1AHPM97RJ8OGE,positives,B0000AQRSR
definitely recommend this mic for anyone wanting quality on a budget.,RRHS2HG4VZ5VK,positives,B0000AQRSR
"shure mic always number one in the market , they came with low or none distortion and the voice sound clear as hell",R1RSHWERDJX6DQ,positives,B0000AQRSR
Built like a tank.,R2SMIDO3W9CI9K,positives,B0000AQRSR
So far I am very pleased.,R3LZ9VN8H2IWGO,positives,B0000AQRSR
Bought a pair of these to use for open mic sessions.,R1MQ0C0P1YHRUJ,positives,B0000AQRSR
Can't beat the price and with cable even better.,R2A5XEMWKWHZIM,positives,B0000AQRSR
OK MIC.,R3PD345LNJG80Q,negatives,B0000AQRSR
Just got it today through Amazon.,R38I1YXOGMTZJD,negatives,B0000AQRSR
The sound produced was very &#34;tinny&#34;.,R30R30T1UU5XR2,negatives,B0000AQRSR
"Great mic, crisp clear vocals!",RHJEIT67KJQDU,benchmark,B0000AQRSR
The sound quality is excellent.,R14NINQVVXYK6,benchmark,B0000AQRSR
"This is not the top of the line mic but with Shure, you can bet you're getting a quality product.  ",R2C2CO22TQ809T,benchmark,B0000AQRSR
"I use this for vocals, guitar, and drums and have yet to find one complaint with it.",RODDTWJB7WA4P,benchmark,B0000AQRSR
/>Price -,RMQ25BIPWBJ8O,benchmark,B0000AQRSR
"I connect our two mics to a small sound mixer, which outputs to a Sennsheiser wireless headphone transmitter.  ",RS2P6FGFS13JM,benchmark,B0000AQRSR
Very pleased with this microphone.,R3ASNFQDGPQ4T3,benchmark,B0000AQRSR
I was given a Shure PG48 XLR when I was hired to facilitate a weekly trivia game and play music for it as well.,R1MVFP6EQ6GY0J,benchmark,B0000AQRSR
We recommned this product.<br />Maybe the box need a hard box or in good quality,R3IUDC6AKIN7R4,benchmark,B0000AQRSR
"This mic is okey for home use, it looks like a pro mic, well built, sound is ok, but if you get too close to the mic sound",R31D2V9ECYPTZJ,benchmark,B0000AQRSR
